Time,Open,High,Low,Latest,Change,%Change,Volume
2021-11-08,1.24494,1.2465,1.24354,1.24414,-0.00107,-0.09%,133079
2021-11-09,1.24413,1.24846,1.24278,1.24341,-0.00073,-0.06%,159871
2021-11-10,1.2434,1.25027,1.23866,1.24784,0.00443,+0.36%,191481
2021-11-11,1.24786,1.25959,1.24703,1.25626,0.00842,+0.67%,165591
2021-11-12,1.25625,1.26041,1.2524,1.2529,-0.00336,-0.27%,142420
2021-11-15,1.25446,1.25549,1.25011,1.25109,-0.00181,-0.14%,133692
2021-11-16,1.25108,1.25676,1.24924,1.25494,0.00385,+0.31%,156119
2021-11-17,1.255,1.26221,1.254,1.26073,0.00579,+0.46%,164275
2021-11-18,1.2607,1.26465,1.25923,1.2596,-0.00113,-0.09%,158954
2021-11-19,1.25959,1.26616,1.25839,1.26266,0.00306,+0.24%,184180
2021-11-22,1.26443,1.2705,1.26276,1.26973,0.00707,+0.56%,170279
2021-11-23,1.2697,1.27442,1.26595,1.26661,-0.00312,-0.25%,205427
2021-11-24,1.26656,1.27094,1.26511,1.26583,-0.00078,-0.06%,193832
2021-11-25,1.2658,1.26768,1.26402,1.26455,-0.00128,-0.10%,115670
2021-11-26,1.26456,1.27985,1.26444,1.27885,0.0143,+1.13%,216674
2021-11-29,1.27584,1.27929,1.27202,1.27372,-0.00513,-0.40%,218140
2021-11-30,1.27372,1.2836,1.27291,1.27755,0.00383,+0.30%,285245
2021-12-01,1.27756,1.2829,1.27134,1.28157,0.00402,+0.31%,245272
2021-12-02,1.28152,1.28367,1.27781,1.28027,-0.0013,-0.10%,256628
2021-12-03,1.28025,1.2853,1.27436,1.27981,-0.00046,-0.04%,254053
2021-12-06,1.28255,1.28415,1.27529,1.27542,-0.00439,-0.34%,193975
2021-12-07,1.2754,1.27668,1.26348,1.26377,-0.01165,-0.91%,167584
2021-12-08,1.26376,1.26657,1.26079,1.26501,0.00124,+0.10%,202681
2021-12-09,1.26501,1.27213,1.26472,1.27122,0.00621,+0.49%,163786
2021-12-10,1.27123,1.27383,1.26792,1.27199,0.00077,+0.06%,160382
